RequestId;actualWaitTime;estimatedWaitTime;deviate
drtA_128;164.0;114.03369884415588;49.96630115584412
drtA_13;235.0;235.81641538128315;-0.81641538128315
drtA_127;505.0;497.41151001937396;7.588489980626036
drtA_155;544.0;508.2878821639606;35.7121178360394
drtA_154;432.0;346.87067287624814;85.12932712375186
drtA_90;357.0;342.7480768327223;14.25192316727771
drtA_156;682.0;555.9998207674798;126.00017923252017
drtA_92;303.0;295.97596167002484;7.024038329975156
drtA_151;644.0;430.6605063400784;213.33949365992157
drtA_91;362.0;350.0582826892278;11.94171731077222
drtA_150;600.0;583.9055359220511;16.094464077948942
drtA_94;398.0;354.48831693588727;43.51168306411273
drtA_93;317.0;307.81185204729263;9.188147952707368
drtA_152;546.0;541.3012284630968;4.698771536903223
drtA_85;419.0;291.0551260033244;127.9448739966756
