person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
31047056611-2;7369.568714519092;7369.568714519092;1.0;598.0;450.7272753464775;1.3267446473930669
31124096391-2;701.7777239582226;701.7777239582226;1.0;398.0;98.8931527328095;4.024545572688135
42133033301-3;9870.041654434233;9870.041654434233;1.0;844.0;694.3101980809311;1.2155949924584293
51092040942-2;7110.918143378148;7110.5781779919935;1.0000478112155784;653.0;402.38526580472603;1.6228228404289908
31143040412-2;8329.756745466162;8329.756745466162;1.0;873.0;573.1235289400456;1.523231826853377
31124015572-2;1521.034862530157;1521.034862530157;1.0;608.0;235.67037968205355;2.579874487495043
31105017361-5;1536.9243038894185;1536.9243038894185;1.0;547.0;159.48733938358978;3.42973932673356
31073038211-2;16721.733175792684;14942.09545470891;1.1191022856518382;1633.0;925.5082205666952;1.7644359755120302
31157245222-1;1579.1098730123113;1565.2461958767976;1.0088571862829205;560.0;214.15383285366306;2.614942691138583
51087063991-3;11636.304902802878;11542.656922;1.0081132083744417;1107.0;656.1599151774241;1.6870887330882898
31131006284-2;571.2347970911496;571.2347970911496;1.0;303.0;79.69676472365943;3.8019109188512514
31123066303-2;1191.332680649818;1191.332680649818;1.0;565.0;194.6862408451027;2.9021054469356584
31124102851-2;11639.730026679936;11639.730026679936;1.0;983.0;741.3571135518949;1.3259466754023264
31157100941-3;13711.054311779595;13711.054311779595;1.0;1387.0;1083.3279330066132;1.2803140745670527
31132012451-2;7664.628784107645;7664.628784107645;1.0;886.0;515.0423843631503;1.7202467736622078
32013079652-2;8425.652542219614;8425.652542219614;1.0;856.0;555.8325590673451;1.5400321302449762
31154071371-2;4551.866202347247;4551.866202347247;1.0;775.0;560.8657838150368;1.3817922618285103
32227025342-2;5913.005015185727;5913.005015185727;1.0;869.0;513.5229911818876;1.6922319251957387
32194009102-2;3011.965238938456;3011.965238938456;1.0;781.0;361.67080755589336;2.1594222803821475
31155023881-1;2340.435427242656;2340.435427242656;1.0;582.0;260.8793716206752;2.2309161371572213
51132016851-3;4246.582199398131;4246.582199398131;1.0;588.0;419.35158562247756;1.4021647232528855
31046022021-3;11452.781244591311;11452.781244591311;1.0;1027.0;826.0024590543555;1.2433377028632038
31123014482-3;458.77144614506346;458.77144614506346;1.0;347.0;75.27998607857243;4.609458875800317
31056020551-2;11738.262691794853;11738.262691794853;1.0;951.0;747.3677294246137;1.2724659662950117
31124048714-2;904.4234215080785;904.4234215080785;1.0;418.0;123.20428945144295;3.3927390179441876
31155033201-4;5041.834701696326;5041.834701696326;1.0;747.0;500.9431805548833;1.4911870826798463
