time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
75643.0;31144039821-3;251311714_2;195255536_0_r;382049.5728420637;3950301.3339604586;379713.45972425374;3951036.1066715186
75640.0;32047033411-4;245926142_2;35575078_47;382682.11823616765;3950510.596067843;372326.2434746044;3949321.864461013
71144.0;31132023451-4;151329184_2;375809344_4;387514.10653936974;3947720.3697161316;383055.0989857657;3949173.0688073696
70272.0;31157252061-3;47072152_0;393957069_1;388880.3954411918;3951285.116052733;382261.58031217905;3950365.173274474
70242.0;31123030981-2;24487382_0;426101590_0_r;385955.3572917887;3947713.6884668684;377065.030872834;3945354.984265504
39307.0;61312022984-1;1190349735_0;1035760831_0_r;383535.23228325776;3932983.846786558;382245.3286274168;3946987.5477017625
77422.0;31137038071-4;90790944_2;107936964_0;388937.4834033921;3950678.4664710294;380766.70894207247;3949769.3905957285
33667.0;61357053261-2;533092485_5;780870438_0;390735.63646076946;3951648.414926194;387903.47473088675;3958612.7138265856
77426.0;31123067301-2;136938166_0;116607768_0_r;382349.67836430646;3950033.2349673137;373175.657585145;3946238.1600678163
76526.0;31127136891-2;211402007_0;25943933_2;382743.7282899693;3946723.53468431;376775.4739677241;3943931.1333406926
75695.0;31185015441-2;23179562_0;115861255_0_r;382408.23646208446;3947260.493910389;390052.788962236;3954431.8441175
69336.0;31157109931-2;393957069_1;230067533_0;382261.58031217905;3950365.173274474;374808.9168822736;3952006.4194585374
74735.0;31157167901-2;294519923_7;41247005_0_r;382530.42009534437;3950725.4230635106;377319.687936509;3950160.090551688
74127.0;31155031161-2;285908104_0;101715919_1;382603.5772390694;3950148.6019971236;378198.4132826646;3951898.1194862267
68458.0;31046004482-7;1214088493_0;115752768_1;382821.33648811124;3950573.135683054;384470.43258951674;3951466.365237626
16597.0;31082028811-1;1060235876_0;251308522_1;394505.167835937;3950968.027411433;381978.89014362416;3950605.8758827597
75621.0;31147080391-3;158370225_0_r;96707196_0;382436.37451905676;3946493.9806505954;379596.53723245295;3950344.954725333
74752.0;31124085591-4;1090618166_0;31824646_7;388234.62482067186;3948192.950324451;378958.8981938136;3947630.7549352758
75061.0;31143039311-2;286703474_1;115461049_0_r;388207.77422581986;3949326.3838776075;380179.5985068093;3950966.9709124216
75038.0;31127127051-2;379075322_1;198344430_1;387919.9000510914;3951308.6553900023;372435.1272169874;3944814.3151561203
