zone;centerX;centerY;nRequests;sumWaitTime;meanWaitTime;min;max;p95;p90;p80;p75;p50
291;348861.78132497746;3925248.433229805;6;727;121.16666666666667;61.0;166.0;166.0;166.0;160.8;156.25;143.0
292;349996.26995089254;3925229.331076074;5;1368;273.6;147.0;510.0;510.0;510.0;473.20000000000016;418.0;222.0
293;351130.7562183113;3925210.3726674337;5;1375;275.0;115.0;542.0;542.0;542.0;493.00000000000017;419.5;225.0
294;352265.24014501116;3925191.558001167;2;317;158.5;151.0;166.0;166.0;166.0;166.0;166.0;158.5
295;348877.40686168685;3926172.8711779695;1;483;483.0;483.0;483.0;483.0;483.0;483.0;483.0;483.0
296;350011.77834399213;3926153.767095958;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
297;351146.14747002174;3926134.8067735108;2;598;299.0;150.0;448.0;448.0;448.0;448.0;448.0;299.0
298;352280.5142575373;3926115.9902079166;2;974;487.0;336.0;638.0;638.0;638.0;638.0;638.0;487.0
299;350027.28992364905;3927078.204299699;3;627;209.0;61.0;352.0;352.0;352.0;352.0;352.0;214.0
3;329118.31748306134;3901559.27334017;2;550;275.0;144.0;406.0;406.0;406.0;406.0;406.0;275.0
30;327020.8973924351;3910847.208314722;4;1244;311.0;187.0;571.0;571.0;571.0;571.0;501.0;243.0
300;351161.54188424716;3927059.2420650497;1;183;183.0;183.0;183.0;183.0;183.0;183.0;183.0;183.0
301;352295.79150853364;3927040.4236017177;2;1128;564.0;371.0;757.0;757.0;757.0;757.0;757.0;564.0
302;351176.93946066994;3927983.6785421697;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
303;352311.07189768855;3927964.8581826915;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
304;351192.34019897575;3928908.116204988;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
305;352326.35542468756;3928889.2939509554;1;308;308.0;308.0;308.0;308.0;308.0;308.0;308.0;308.0
306;353323.9835984331;3920550.7532903515;3;446;148.66666666666666;104.0;177.0;177.0;177.0;177.0;177.0;165.0
307;354459.0482104306;3920532.235476111;1;211;211.0;211.0;211.0;211.0;211.0;211.0;211.0;211.0
308;355594.1105242701;3920513.861323647;3;183;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
309;353339.1249971574;3921475.177670893;4;1180;295.0;151.0;495.0;495.0;495.0;495.0;462.75;267.0
31;328157.30595855915;3910825.4099640087;8;2580;322.5;152.0;498.0;498.0;498.0;487.6;466.0;280.0
310;354474.07259457733;3921456.6579784527;8;1912;239.0;108.0;457.0;457.0;457.0;412.2;374.25;195.0
311;355609.0178959925;3921438.2819623305;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
312;356743.9609192425;3921420.049619889;5;1687;337.4;309.0;392.0;392.0;392.0;384.8;374.0;315.0
313;353354.2695118625;3922399.603239466;10;3182;318.2;147.0;569.0;569.0;561.6;478.80000000000007;434.25;307.5
314;354489.1000706503;3922381.0816703932;4;882;220.5;61.0;283.0;283.0;283.0;283.0;279.5;269.0
315;355623.92833558767;3922362.703792164;4;1039;259.75;103.0;475.0;475.0;475.0;475.0;428.5;230.5
316;356758.7543244961;3922344.469602146;4;1541;385.25;196.0;706.0;706.0;706.0;706.0;616.5;319.5
317;357893.5780552064;3922326.379097723;12;2981;248.41666666666666;61.0;429.0;429.0;427.5;356.80000000000007;312.0;249.5
318;353369.41714223917;3923324.029996192;20;6314;315.7;61.0;1100.0;1099.8;1036.5000000000014;428.80000000000007;351.25;246.5
319;354504.1306383424;3923305.506552052;8;1835;229.375;61.0;624.0;624.0;624.0;332.80000000000007;252.0;205.0
32;329293.71178794256;3910803.7551807472;3;318;106.0;1.0;196.0;196.0;196.0;196.0;196.0;121.0
320;355638.8418427476;3923287.12681327;1;210;210.0;210.0;210.0;210.0;210.0;210.0;210.0;210.0
321;356773.5507732609;3923268.890777214;1;600;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0
322;357908.2574476984;3923250.798441272;1;125;125.0;125.0;125.0;125.0;125.0;125.0;125.0;125.0
323;353384.5678879775;3924248.4579411903;16;3544;221.5;61.0;530.0;530.0;520.2;457.8000000000002;352.75;158.5
