person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
12431003711-2;17562.18269315559;17562.18269315559;1.0;1201.0;1055.8107450296577;1.1375144699500703
81087044691-2;7744.918472071779;7744.918472071779;1.0;1030.0;487.023132235926;2.1148892769656835
31157175882-2;15920.176970161097;9548.391366777567;1.6673150857173034;1711.0;584.4728143778133;2.9274244377326677
31157188541-1;12481.052077203201;11541.928279171445;1.0813662825930481;1279.0;770.6634758407118;1.6596089474783362
31105019571-2;7064.080544671739;7064.080544671739;1.0;744.0;548.5826058046868;1.356222366745781
31047056611-2;7369.568714519092;7369.568714519092;1.0;598.0;450.6532867175254;1.3269624734254588
32245014231-3;4440.290018394249;4440.290018394249;1.0;611.0;377.3517118003055;1.6191790864946205
31123103521-3;1043.1644715954778;1043.1644715954778;1.0;458.0;144.4213841283956;3.1712755196475766
42133033301-3;9870.041654434233;9870.041654434233;1.0;844.0;691.0584834663473;1.2213148672547922
51092040942-2;7110.918143378148;7110.5781779919935;1.0000478112155784;552.0;402.38583786000595;1.3718176637022854
31143040412-2;8329.756745466162;8329.756745466162;1.0;873.0;572.8306797223222;1.5240105512909747
61357058671-2;3529.7546749991025;3529.7546749991025;1.0;812.0;504.46574110133423;1.6096236747955697
32194003022-2;3095.5833532076335;3095.5833532076335;1.0;612.0;361.4223612866222;1.6933097272159643
31157254672-2;1184.8406159143178;1184.8406159143178;1.0;374.0;140.67138569894777;2.6586785801655575
31073038211-2;14942.09545470891;14942.09545470891;1.0;1176.0;938.5250454777963;1.2530299597932486
31157265671-2;27610.946228438268;27610.946228438268;1.0;2351.0;1827.925179421789;1.2861576756350994
31046037041-2;1439.7436535180857;1439.7436535180857;1.0;424.0;144.1880159864026;2.9406049948005704
31046048971-1;2534.4269077077233;2534.4269077077233;1.0;648.0;298.28025242885735;2.1724535725158476
31154067232-2;1086.620171769018;1086.620171769018;1.0;409.0;179.15163086482062;2.282982287270453
31124102851-2;23329.823119178138;11638.745038582596;2.004496450591491;2153.0;742.8216798195507;2.898407596992882
31132012451-2;7760.006948631006;7664.628784107645;1.012443937887915;956.0;514.2804865358845;1.858907784814997
31154071371-2;4551.866202347247;4551.866202347247;1.0;809.0;560.653498499106;1.4429589794155007
32227025342-2;6276.915421567668;6276.915421567668;1.0;965.0;509.82152431909867;1.892819259227674
51132016851-3;5014.16770670531;4246.582199398131;1.1807537146969553;794.0;420.46590570140654;1.888381410320242
31024011471-3;337.07046675319265;337.07046675319265;1.0;170.0;42.03409680903414;4.044335739443387
51103045941-2;1927.6465105287557;1927.6465105287557;1.0;307.0;141.6186131704063;2.1677941417954307
31046022021-3;11450.880201791331;11450.880201791331;1.0;1023.0;825.0898715262385;1.2398649350860051
31056020551-2;11738.262691794853;11738.262691794853;1.0;960.0;749.3928503234694;1.2810370416339358
31131023601-2;4859.376710438558;4859.376710438558;1.0;661.0;527.8486074208165;1.2522529958538495
31124068671-2;6040.44067391906;6040.44067391906;1.0;570.0;404.2227573804854;1.4101135811694847
31157256261-6;525.0751035122414;525.0751035122414;1.0;235.0;81.13671872059437;2.896345867883262
04434004353-2;14944.373781415628;14944.373781415628;1.0;1102.0;858.9833244447758;1.2829119828517088
31123023041-2;2583.695769528803;2583.695769528803;1.0;482.0;256.14856020373537;1.8817205125674998
31127125042-3;8746.923129585897;8746.923129585897;1.0;854.0;583.0397911098685;1.4647370780205833
31124030933-2;2501.4707326093876;2501.4707326093876;1.0;546.0;373.6517365675563;1.461253746645663
31077039581-3;10243.153105018464;10243.153105018464;1.0;701.0;561.8001460910239;1.2477746844274098
31124042354-2;757.0247830026489;757.0247830026489;1.0;336.0;119.85642231583982;2.8033541591504303
31144048491-1;1658.8310600611858;1658.8310600611858;1.0;697.0;244.58422428647725;2.8497340825368034
31124060373-2;8411.683041017837;8411.683041017837;1.0;1045.0;663.3556969954465;1.575323773856386
31124034251-4;288.7725988816328;288.7725988816328;1.0;301.0;47.39998177647947;6.350213411882795
31124013972-4;384.8200532455179;384.8200532455179;1.0;428.0;67.92225802068262;6.301321723869547
31124101954-3;2476.7013166635857;2476.7013166635857;1.0;718.0;326.74184471531794;2.197453468580296
31147079761-5;8511.19720354763;8511.19720354763;1.0;1172.0;674.8957985330401;1.736564374155937
31124070512-3;29804.404871845334;17868.211471799616;1.6680127677514862;2736.0;1126.3829360703303;2.4290140700685887
31117093921-2;12658.068529112978;8010.574983750635;1.5801697824175835;1610.0;547.71489444853;2.9394855175903842
31127126712-3;12824.154250082307;8488.092103361643;1.5108406098707858;1450.0;606.399900390938;2.391161342647326
31157239642-1;119.60711208932918;119.60711208932918;1.0;274.0;13.077734710922243;20.951640789223312
31147080312-2;2950.312440777404;2950.312440777404;1.0;424.0;311.6312380278909;1.3605824713954129
32212008901-2;7264.891421574134;7264.891421574134;1.0;653.0;459.2647149220012;1.4218379483189814
31124067351-5;1199.277804016418;1199.277804016418;1.0;578.0;193.57685545640788;2.9858941485396815
31157120361-2;18096.41363476903;9846.287737522201;1.8378920174968354;2112.0;609.9130041173798;3.462788931769585
32094001491-5;6517.093640960442;6517.093640960442;1.0;798.0;446.7156879774767;1.7863711113728225
31157119791-4;637.600994664054;637.600994664054;1.0;411.0;92.51195746892923;4.442668939720978
31154043872-2;22024.09892309344;18996.327867956505;1.159387176099664;2700.0;1199.8786710585828;2.2502275147685955
31047059191-5;5286.621481182653;5286.621481182653;1.0;695.0;404.1910005080448;1.7194841031255645
31157258502-3;6042.041714175159;6042.041714175159;1.0;938.0;625.8229229150116;1.498826530084426
31163040131-3;8433.776283283467;11205.065487849806;0.7526753228197209;1277.0;686.7563807228846;1.8594657957976608
31154008831-2;26592.170732981285;19595.193693897418;1.357076186558082;2749.0;1182.4619422338083;2.3248105514557356
31124048171-4;4485.246541591103;4485.246541591103;1.0;871.0;528.6533313022017;1.6475825430902238
31144035582-3;5711.810332606619;4899.693514848469;1.1657484933082118;1167.0;436.2865497554205;2.6748475300332153
31143045871-2;2340.3102600375455;2312.6964073838785;1.0119401113632998;796.0;192.75961977472997;4.129495591090352
31163015951-3;10349.226601900316;8432.196359786754;1.2273464896116393;1668.0;528.461288490759;3.1563333707255414
31124005631-2;30370.27800984838;19747.032874177385;1.537966650653765;3633.0;1333.8663130194527;2.7236612579082484
31046047222-2;4407.551362117972;2866.255322233687;1.5377385705761708;889.0;252.44962853079755;3.5214945855685684
