person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
32194010541-4;1124.2038492657755;1124.2038492657755;1.0;738.0;155.21569439365484;4.754673829105835
32084007551-1;1154.350516704003;1154.350516704003;1.0;363.0;187.05541366160975;1.9406014126737898
32255010511-1;1442.94264412689;1442.94264412689;1.0;764.0;155.29005676635623;4.9198256212211104
91534006481-5;3786.149871104255;3786.149871104255;1.0;952.0;472.7830254795691;2.013608671830668
61344052332-2;5626.452814405042;5626.452814405042;1.0;1250.0;743.2794349011368;1.6817362909633868
31123061802-2;5268.0936587175465;5268.0936587175465;1.0;894.0;576.3163366461783;1.5512314039240211
61357055951-5;219.3366668625144;219.3366668625144;1.0;205.0;35.15867587571775;5.830708776537934
31157118512-1;2303.0769088586226;2303.0769088586226;1.0;839.0;259.08090508249103;3.2383706538807386
31123060864-1;2171.8332867209906;2171.8332867209906;1.0;678.0;232.79984469115175;2.9123730769643825
32054016741-1;21874.310467796076;21874.310467796076;1.0;1956.0;1545.0282047725473;1.2659963060596389
31124017991-1;1297.7516239482718;1297.7516239482718;1.0;772.0;171.4525843240588;4.5027026162572135
31124015572-3;3088.4599014094715;3088.4599014094715;1.0;1022.0;478.4125167659103;2.136231733460414
31124082052-4;241.49293758051346;241.49293758051346;1.0;393.0;41.58541907118081;9.450427788819704
61354048911-3;1722.3627453859506;1722.3627453859506;1.0;485.0;243.49020487561512;1.9918665732272807
31132017272-4;767.5760879925373;767.5760879925373;1.0;381.0;119.96139392208815;3.1760217812027904
61357056161-1;972.9519804842882;972.9519804842882;1.0;587.0;163.75359996584916;3.5846540175142345
91535004722-1;7974.71046113631;658.3126589262232;12.113864670541043;1524.0;106.57065866004159;14.300371407682968
32083024762-1;4617.038250270298;4612.699927478393;1.0009405170204246;713.0;475.712933066132;1.4988030605022067
32094038093-2;17455.71555019319;17455.71555019319;1.0;2778.0;2711.44050845693;1.0245476496111467
42163006646-2;1559.607407889533;1559.607407889533;1.0;641.0;254.13453560039406;2.522286073735057
42163010743-2;32306.481533261445;32281.039267820488;1.0007881488953896;3101.0;2651.815850167709;1.16938738404625
61352012943-2;1009.2693838535823;1009.2693838535823;1.0;768.0;172.07893669318767;4.463068024236599
61352016842-3;1047.2627832016146;1047.2627832016146;1.0;497.0;164.43083508895913;3.022547442096957
31123111062-4;3705.6614160836843;3705.6614160836843;1.0;698.0;327.91615206654126;2.128592921090269
91533006511-2;2831.5307727717995;2831.5307727717995;1.0;785.0;314.6046471082364;2.495195182955861
61358057124-2;1091.996398798105;1091.996398798105;1.0;614.0;179.20991737555997;3.4261496740343635
32093004222-4;681.599202786129;681.599202786129;1.0;558.0;108.4740487234821;5.1440875173972005
32193003692-3;1747.8489575816577;1747.8489575816577;1.0;648.0;263.2710984570344;2.4613411946763804
32093005722-1;912.8643884175746;912.8643884175746;1.0;589.0;118.07677110305677;4.988280035926151
91534015672-4;404.8583287499447;404.8583287499447;1.0;661.0;65.62503609714423;10.072375412053516
32194011222-3;899.8976058399301;899.8976058399301;1.0;397.0;162.40313441507175;2.444534099848978
61357059153-2;1345.6381267929023;1345.6381267929023;1.0;717.0;210.28842608245301;3.4096027696686835
61353040832-2;1265.4189366111914;1265.4189366111914;1.0;625.0;220.15790750864736;2.8388714585482298
42163014141-2;3771.137778046669;3771.137778046669;1.0;819.0;506.72981794186137;1.6162459184392546
91536012391-4;37343.579977907495;37318.13771246654;1.000681766749375;3348.0;2793.697782422143;1.1984116610842837
32254001202-3;20839.796726360557;20798.485770642186;1.0019862482381618;1783.0;1525.877178996865;1.1685082027192852
32083007662-2;619.0233143636427;619.0233143636427;1.0;645.0;104.73766094556824;6.1582433116890405
61353044522-2;1157.368187604671;1157.368187604671;1.0;742.0;161.59862439362726;4.59162324422151
31124075031-5;702.2716253094891;702.2716253094891;1.0;500.0;113.00065269931393;4.424753203244424
42124006273-2;48536.21153229809;38069.298598491245;1.2749436769035105;5007.0;2886.8002608172073;1.7344462891875303
42048026664-2;36113.11882075789;27574.974532805896;1.3096338050210774;3195.0;2065.4333365772013;1.5468908840673097
42114000601-4;48410.14278338959;37965.22207328724;1.2751181249497159;4602.0;2875.5656292594704;1.6003807922774238
42124019712-5;43424.6681472745;41495.89950141965;1.0464809455640036;4302.0;3168.5765695797136;1.3577074454510107
31124101953-4;2258.5567808554383;2258.5567808554383;1.0;642.0;292.9237088482955;2.191696952507488
31123039761-2;1639.2544667913428;1639.2544667913428;1.0;738.0;216.77220654260185;3.4044954921606254
31123076701-5;463.92817155408557;463.92817155408557;1.0;467.0;64.14891522431073;7.279936042052032
32084027512-4;1424.6207121438101;1424.6207121438101;1.0;524.0;227.15793809982551;2.306765083286352
32097084784-5;2547.444974204171;2547.444974204171;1.0;562.0;244.78563598558574;2.2958863486299235
31123071562-2;3053.118340149585;3053.118340149585;1.0;966.0;432.9201084329521;2.2313585836810534
31123052861-2;1108.5087778880802;1108.5087778880802;1.0;505.0;181.3704890709115;2.7843559478000697
31123059501-2;5429.099544501959;5429.099544501959;1.0;856.0;518.9028066267792;1.649634554040248
32255001592-5;1886.9561064553675;1886.9561064553675;1.0;569.0;289.95898062166725;1.9623465318441713
31123006781-2;2025.9889936792222;2025.9889936792222;1.0;817.0;254.2079031819656;3.2139047990777057
42164006691-3;1522.3515668916375;1522.3515668916375;1.0;456.0;231.08950353833083;1.9732614117817915
32093016641-3;36537.51819142316;36496.20723570479;1.0011319246257993;3168.0;2771.665671064867;1.1429949986655
32093003681-2;30876.091345299268;30864.84157681471;1.000364484893161;3183.0;2516.878084131953;1.2646619715383576
